date,gdp_nom_csa,gdp_nom_cssa,gdp_nom_nasa,gdp_real_csa,gdp_real_cssa,gdp_real_nasa
2019-10-01,183226.919281413,183449.628551954,186703.422733222,182523.07687623,182744.940393333,186205.533081602
2020-01-01,180351.76277699,180676.921902151,178738.677623204,180444.865563151,180770.21480618,178385.377138996
2020-04-01,168537.877158197,168866.166122186,168349.100036466,168932.02047602,169261.096645753,168839.746520385
2020-07-01,179107.164914332,179438.340928527,178818.202733595,179221.53346404,179552.927120173,178856.864095062
2020-10-01,181462.387776952,181797.017299991,185267.871133033,180860.773123262,181194.270754243,185091.930767896
2021-01-01,183621.115869526,183738.610601536,181594.569595856,182148.945559849,182265.432639497,179993.788007039
2021-04-01,190367.32325751,190161.366290486,190311.110829188,187163.916960811,186961.315669317,187025.660150916
2021-07-01,195525.382661496,194995.068244243,194057.088768426,191224.539428335,190705.735670624,189950.403571683
2021-10-01,198194.481310173,198153.018808001,201656.344125707,192679.662189463,192639.156600435,196081.644060345
2022-01-01,201222.532396518,201198.399244354,199613.13332489,193095.181254772,193071.78599829,191218.510604996
2022-04-01,204262.536140268,203770.126750656,203714.996613362,194892.531626345,194422.470836685,194257.328367284
2022-07-01,206412.516430924,205809.003551548,204514.61386359,195965.680685564,195392.508386572,194282.389607946
2022-10-01,207673.622129342,207081.091651222,210148.35701841,196333.062850801,195772.759738098,198949.599715502
2023-01-01,208784.783543252,209096.870392365,207704.612166291,196711.873285378,197005.898170852,194994.58305594
2023-04-01,207830.019705992,208158.269069715,208093.142265896,196006.285435739,196315.914202095,196136.306707715
2023-07-01,208437.860626637,208783.869559492,207639.423256183,196860.117488806,197186.986783887,195812.249411791
2023-10-01,209356.192596148,209721.584888031,212104.371038118,197532.53545484,197877.352187331,201108.896310694
2024-01-01,210657.036891187,210834.456792951,208994.890760916,197544.7562218,197711.12883272,195234.154570819
2024-04-01,213115.463543433,212934.010252357,212978.874250609,199472.81677413,199302.936675236,199335.547093736
2024-07-01,214845.491029031,214303.260876926,213490.722678485,200328.469054486,199822.822189602,198884.21604688
2024-10-01,215593.368754133,215633.921800095,217986.786593457,200725.019517534,200762.734941139,203790.500949328
2025-01-01,217887.444024546,218079.535692747,216314.719638806,202350.686119039,202529.080567779,200295.059402913
2025-04-01,217908.348489805,218116.614770169,217816.548307877,202640.520413404,202834.225656088,202487.810124707
2025-07-01,216156.403587015,216383.110060484,215620.43407456,201780.955541408,201992.636722233,200925.633612776
2025-10-01,215833.523091827,216080.937851743,218917.254858662,202217.968431386,202449.837691272,206000.265028988
2026-01-01,218742.230456026,218513.461651998,216396.532672601,203544.329487444,203331.517668815,200857.665641421
